"season","team","conference","statName","statValue"
2024,"Arkansas State","Sun Belt","rushingAttemptsOpponent",481
2024,"Arkansas State","Sun Belt","rushingTDs",18
2024,"Arkansas State","Sun Belt","rushingTDsOpponent",32
2024,"Arkansas State","Sun Belt","rushingYards",2050
2024,"Arkansas State","Sun Belt","rushingYardsOpponent",2766
2024,"Arkansas State","Sun Belt","sacks",19
2024,"Arkansas State","Sun Belt","sacksOpponent",35
2024,"Arkansas State","Sun Belt","tacklesForLoss",65
2024,"Arkansas State","Sun Belt","tacklesForLossOpponent",70
2024,"Arkansas State","Sun Belt","thirdDownConversions",81
2024,"Arkansas State","Sun Belt","thirdDownConversionsOpponent",77
2024,"Arkansas State","Sun Belt","thirdDowns",198
2024,"Arkansas State","Sun Belt","thirdDownsOpponent",164
2024,"Arkansas State","Sun Belt","totalYards",5007
2024,"Arkansas State","Sun Belt","totalYardsOpponent",6012
2024,"Arkansas State","Sun Belt","turnovers",18
2024,"Arkansas State","Sun Belt","turnoversOpponent",20
2024,"Army","American Athletic","firstDowns",293
2024,"Army","American Athletic","firstDownsOpponent",227
2024,"Army","American Athletic","fourthDownConversions",31
2024,"Army","American Athletic","fourthDownConversionsOpponent",17
2024,"Army","American Athletic","fourthDowns",40
2024,"Army","American Athletic","fourthDownsOpponent",40
2024,"Army","American Athletic","fumblesLost",5
2024,"Army","American Athletic","fumblesLostOpponent",2
2024,"Army","American Athletic","fumblesRecovered",2
2024,"Army","American Athletic","fumblesRecoveredOpponent",5
2024,"Army","American Athletic","games",14
2024,"Army","American Athletic","interceptions",4
2024,"Army","American Athletic","interceptionsOpponent",18
2024,"Army","American Athletic","interceptionTDs",0
2024,"Army","American Athletic","interceptionTDsOpponent",0
2024,"Army","American Athletic","interceptionYards",170
2024,"Army","American Athletic","interceptionYardsOpponent",25
2024,"Army","American Athletic","kickReturns",13
2024,"Army","American Athletic","kickReturnsOpponent",39
2024,"Army","American Athletic","kickReturnTDs",0
2024,"Army","American Athletic","kickReturnTDsOpponent",0
2024,"Army","American Athletic","kickReturnYards",153
2024,"Army","American Athletic","kickReturnYardsOpponent",732
2024,"Army","American Athletic","netPassingYards",1128
2024,"Army","American Athletic","netPassingYardsOpponent",2603
2024,"Army","American Athletic","passAttempts",122
2024,"Army","American Athletic","passAttemptsOpponent",402
2024,"Army","American Athletic","passCompletions",66
2024,"Army","American Athletic","passCompletionsOpponent",253
2024,"Army","American Athletic","passesIntercepted",18
2024,"Army","American Athletic","passesInterceptedOpponent",4
2024,"Army","American Athletic","passingTDs",10
2024,"Army","American Athletic","passingTDsOpponent",16
2024,"Army","American Athletic","penalties",45
2024,"Army","American Athletic","penaltiesOpponent",64
2024,"Army","American Athletic","penaltyYards",442
